StorageEvent: 2025/02/04 16:26:28 Timestamp: 2025-02-04T16:26:28+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:27:00 Timestamp: 2025-02-04T16:27:00+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:27:32 Timestamp: 2025-02-04T16:27:32+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:28:05 Timestamp: 2025-02-04T16:28:05+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:28:37 Timestamp: 2025-02-04T16:28:37+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:29:09 Timestamp: 2025-02-04T16:29:09+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:29:40 Timestamp: 2025-02-04T16:29:40+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:30:12 Timestamp: 2025-02-04T16:30:12+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:30:45 Timestamp: 2025-02-04T16:30:45+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:31:17 Timestamp: 2025-02-04T16:31:17+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:31:49 Timestamp: 2025-02-04T16:31:49+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:32:21 Timestamp: 2025-02-04T16:32:21+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:32:53 Timestamp: 2025-02-04T16:32:53+05:30, DiskUsage: 67, TotalContents: 0
StorageEvent: 2025/02/04 16:33:10 Timestamp: 2025-02-04T16:33:10+05:30, URL: http://google.com//static/a.html, Operation: read, ResponseTime: 3ms, Bytes: 0
StorageEvent: 2025/02/04 16:33:11 Timestamp: 2025-02-04T16:33:11+05:30, URL: http://google.com//static/a.html, Operation: write, ResponseTime: 19ms, Bytes: 113
StorageEvent: 2025/02/04 16:33:25 Timestamp: 2025-02-04T16:33:25+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:33:57 Timestamp: 2025-02-04T16:33:57+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:34:30 Timestamp: 2025-02-04T16:34:30+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:35:02 Timestamp: 2025-02-04T16:35:02+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:35:34 Timestamp: 2025-02-04T16:35:34+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:36:06 Timestamp: 2025-02-04T16:36:06+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:36:38 Timestamp: 2025-02-04T16:36:38+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:37:10 Timestamp: 2025-02-04T16:37:10+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:37:42 Timestamp: 2025-02-04T16:37:42+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:38:14 Timestamp: 2025-02-04T16:38:14+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:38:46 Timestamp: 2025-02-04T16:38:46+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:39:18 Timestamp: 2025-02-04T16:39:18+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:39:50 Timestamp: 2025-02-04T16:39:50+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:40:22 Timestamp: 2025-02-04T16:40:22+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:40:54 Timestamp: 2025-02-04T16:40:54+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:41:26 Timestamp: 2025-02-04T16:41:26+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:41:58 Timestamp: 2025-02-04T16:41:58+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:42:30 Timestamp: 2025-02-04T16:42:30+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:43:02 Timestamp: 2025-02-04T16:43:02+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:43:34 Timestamp: 2025-02-04T16:43:34+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:44:06 Timestamp: 2025-02-04T16:44:06+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:44:37 Timestamp: 2025-02-04T16:44:37+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:45:09 Timestamp: 2025-02-04T16:45:09+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:45:41 Timestamp: 2025-02-04T16:45:41+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:46:13 Timestamp: 2025-02-04T16:46:13+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:46:15 Timestamp: 2025-02-04T16:46:15+05:30, URL: http://msn.com/, Operation: write, ResponseTime: 0ms, Bytes: 0
StorageEvent: 2025/02/04 16:46:45 Timestamp: 2025-02-04T16:46:45+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:47:17 Timestamp: 2025-02-04T16:47:17+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:47:49 Timestamp: 2025-02-04T16:47:49+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:48:21 Timestamp: 2025-02-04T16:48:21+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:48:53 Timestamp: 2025-02-04T16:48:53+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:49:25 Timestamp: 2025-02-04T16:49:25+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:49:57 Timestamp: 2025-02-04T16:49:57+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:50:29 Timestamp: 2025-02-04T16:50:29+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:51:00 Timestamp: 2025-02-04T16:51:00+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:51:33 Timestamp: 2025-02-04T16:51:33+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:52:05 Timestamp: 2025-02-04T16:52:05+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:52:37 Timestamp: 2025-02-04T16:52:37+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:53:09 Timestamp: 2025-02-04T16:53:08+05:30, DiskUsage: 67, TotalContents: 1
StorageEvent: 2025/02/04 16:53:31 Timestamp: 2025-02-04T16:53:31+05:30, URL: http://msn.com//dyna/200/256/120/0/Europe, Operation: read, ResponseTime: 5ms, Bytes: 0
StorageEvent: 2025/02/04 16:53:31 Timestamp: 2025-02-04T16:53:31+05:30, URL: http://msn.com//dyna/200/256/120/0/Europe, Operation: write, ResponseTime: 42ms, Bytes: 256
StorageEvent: 2025/02/04 16:53:40 Timestamp: 2025-02-04T16:53:40+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:54:12 Timestamp: 2025-02-04T16:54:12+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:54:44 Timestamp: 2025-02-04T16:54:44+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:55:16 Timestamp: 2025-02-04T16:55:16+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:55:48 Timestamp: 2025-02-04T16:55:48+05:30, DiskUsage: 67, TotalContents: 2
StorageEvent: 2025/02/04 16:56:20 Timestamp: 2025-02-04T16:56:20+05:30, DiskUsage: 67, TotalContents: 2
